squareMeters,rooms,type,longitude,hasElevator,poiCount,hasSecurity,hasParkingSpace,buildYear,centreDistance,city_encoded
88.44,4.0,3.0,20.9775,1.0,4.0,0,0,2017.0,10.18,923794.7879754602
43.87,2.0,1.0,20.9678242,0.0,24.0,0,0,1962.0,2.62,923794.7879754602
46.03,2.0,1.0,18.57018,0.0,5.0,0,0,2007.0,6.71,737720.9866291344
69.49,3.0,1.0,21.1449937,1.0,27.0,0,1,2009.0,0.31,331119.6569037657
48.0,3.0,1.0,21.0744424,1.0,18.0,0,0,1972.0,4.83,923794.7879754602
68.4,2.0,0.0,19.8975796,0.0,1.0,0,0,2000.0,3.73,747427.8625277162
72.0,3.0,2.0,14.5348102,0.0,40.0,0,1,1930.0,2.02,500654.9549763033
58.45,2.0,1.0,21.0972,0.0,18.0,0,0,1992.0,6.38,923794.7879754602
37.97,2.0,2.0,17.0067,0.0,24.0,0,1,,2.06,663522.8989361703
69.0,3.0,1.0,18.6118,1.0,9.0,0,1,,5.96,737720.9866291344
71.0,3.0,3.0,20.92223,1.0,7.0,1,0,2012.0,6.67,923794.7879754602
37.2,2.0,1.0,21.0488,1.0,14.0,0,1,1971.0,4.23,923794.7879754602
143.0,6.0,1.0,21.020842,0.0,11.0,0,0,2003.0,9.27,923794.7879754602
51.3,2.0,1.0,18.65118,1.0,80.0,0,0,1962.0,0.4,737720.9866291344
48.83,3.0,1.0,20.9482501,1.0,7.0,0,0,,7.51,923794.7879754602
67.0,3.0,0.0,21.1116284,1.0,0.0,0,1,2017.0,11.18,923794.7879754602
47.0,3.0,0.0,19.9067,0.0,18.0,0,0,,3.07,747427.8625277162
37.0,2.0,2.0,18.0079,0.0,54.0,0,0,,0.65,411446.35302390996
26.0,1.0,2.0,19.9268814,1.0,35.0,0,0,1950.0,1.87,747427.8625277162
73.0,4.0,2.0,21.0134589,1.0,30.0,0,0,,4.09,923794.7879754602
54.0,3.0,1.0,20.97849247,1.0,18.0,0,1,1980.0,6.14,923794.7879754602
35.17,2.0,3.0,21.04579,1.0,4.0,0,0,2021.0,5.1,923794.7879754602
46.3,3.0,0.0,20.87263,0.0,12.0,0,0,1970.0,9.77,923794.7879754602
44.63,2.0,2.0,19.4456,0.0,22.0,0,0,1910.0,1.38,413154.8083261058
52.0,2.0,1.0,20.94386398,1.0,23.0,0,0,1992.0,11.44,923794.7879754602
35.0,2.0,0.0,21.15655285,0.0,12.0,0,0,1975.0,1.55,331119.6569037657
69.66,2.0,1.0,19.4734251,0.0,8.0,0,0,,7.14,413154.8083261058
70.0,3.0,2.0,18.6515056,0.0,10.0,0,0,1936.0,0.72,737720.9866291344
53.3,2.0,1.0,20.9522645,1.0,5.0,0,1,1999.0,13.27,923794.7879754602
65.3,3.0,1.0,21.00507,0.0,28.0,0,0,1960.0,4.46,923794.7879754602
55.47,3.0,1.0,20.93847,1.0,6.0,0,0,2010.0,13.12,923794.7879754602
73.0,4.0,1.0,16.9241,0.0,8.0,0,0,,4.77,568970.2777777778
43.06,3.0,1.0,20.01051241,1.0,6.0,0,0,2022.0,5.29,747427.8625277162
65.32,3.0,1.0,18.55988,1.0,11.0,1,0,2009.0,6.13,737720.9866291344
38.65,2.0,1.0,22.5684463,1.0,81.0,0,0,2017.0,0.14,491590.74011299433
50.5,2.0,1.0,20.008555,1.0,17.0,0,0,1980.0,6.5,747427.8625277162
42.98,2.0,3.0,19.47078259,1.0,8.0,0,0,2020.0,3.45,413154.8083261058
81.07,5.0,0.0,17.9563961,1.0,9.0,0,0,2019.0,3.04,411446.35302390996
78.0,3.0,0.0,18.62904,0.0,13.0,0,0,1900.0,2.72,737720.9866291344
86.0,3.0,3.0,17.0492602,1.0,6.0,0,0,2000.0,3.42,663522.8989361703
66.0,3.0,0.0,18.46539,0.0,0.0,0,0,,7.26,657043.248427673
73.0,3.0,1.0,21.07172951,1.0,16.0,0,0,1978.0,7.99,923794.7879754602
65.13,3.0,0.0,19.9447037,0.0,90.0,0,0,1876.0,0.58,747427.8625277162
93.4,3.0,3.0,20.9992656,1.0,62.0,0,0,2007.0,0.29,923794.7879754602
67.0,3.0,1.0,20.95135,1.0,28.0,1,0,2011.0,3.62,923794.7879754602
67.24,3.0,1.0,20.9015172461569,0.0,15.0,1,1,2005.0,7.04,923794.7879754602
76.05,3.0,2.0,20.99846,0.0,57.0,0,0,1910.0,1.33,923794.7879754602
56.5,3.0,1.0,16.9208,1.0,7.0,0,0,2008.0,5.88,568970.2777777778
79.49,4.0,3.0,19.45609225,1.0,58.0,0,1,2022.0,1.11,413154.8083261058
61.0,3.0,1.0,17.0658875,0.0,9.0,0,0,1980.0,4.08,663522.8989361703
63.6,3.0,0.0,21.0525916,1.0,20.0,0,0,1985.0,10.92,923794.7879754602
58.09,3.0,3.0,20.996376,1.0,11.0,0,1,2019.0,7.76,923794.7879754602
41.47,2.0,1.0,19.9252782,1.0,21.0,0,0,1980.0,2.66,747427.8625277162
54.0,2.0,0.0,19.5234,0.0,5.0,0,0,1992.0,5.68,413154.8083261058
49.8,2.0,0.0,19.499,0.0,18.0,0,0,2017.0,6.33,413154.8083261058
45.0,2.0,1.0,19.9686961,0.0,13.0,0,0,,5.17,747427.8625277162
67.5,2.0,0.0,19.9469,0.0,57.0,0,1,2008.0,1.26,747427.8625277162
67.0,2.0,1.0,17.03625,1.0,86.0,0,0,2003.0,0.59,663522.8989361703
50.0,2.0,0.0,19.9058142,0.0,7.0,0,0,2018.0,6.13,747427.8625277162
78.28,3.0,2.0,17.02882367,1.0,53.0,0,1,1930.0,1.0,663522.8989361703
37.0,2.0,1.0,21.0028606,1.0,13.0,0,0,1968.0,2.53,923794.7879754602
30.0,1.0,1.0,19.4540810727551,1.0,23.0,0,0,1976.0,0.49,413154.8083261058
45.0,2.0,1.0,20.97777,1.0,20.0,0,0,,3.07,923794.7879754602
73.82,4.0,3.0,19.391,1.0,3.0,0,0,2022.0,4.44,413154.8083261058
107.04,5.0,2.0,19.9140193,0.0,8.0,0,0,1939.0,1.77,747427.8625277162
30.69,1.0,1.0,18.64523,1.0,12.0,0,0,2022.0,5.47,737720.9866291344
57.9,3.0,2.0,18.61717,0.0,11.0,0,0,1926.0,5.33,737720.9866291344
40.0,2.0,1.0,21.0458,1.0,19.0,0,1,1975.0,7.76,923794.7879754602
55.61,4.0,1.0,21.9783,0.0,24.0,0,0,1978.0,2.53,503505.2635135135
98.9,5.0,1.0,20.90192,0.0,13.0,0,0,2000.0,6.96,923794.7879754602
33.0,2.0,2.0,18.64815,0.0,54.0,0,0,1956.0,0.75,737720.9866291344
43.42,2.0,2.0,17.9913358,0.0,15.0,0,0,1900.0,0.78,411446.35302390996
64.75,3.0,1.0,20.04533,0.0,21.0,0,0,,7.89,747427.8625277162
55.0,2.0,1.0,19.0385708,0.0,0.0,0,0,1970.0,6.84,442685.6430594901
54.5,2.0,0.0,17.0418116,1.0,33.0,1,1,2019.0,1.38,663522.8989361703
35.47,2.0,1.0,21.04577,1.0,8.0,0,0,1962.0,3.53,923794.7879754602
48.0,2.0,3.0,16.9874414,1.0,16.0,0,1,2010.0,3.4,663522.8989361703
28.3,1.0,3.0,16.9658,1.0,12.0,0,0,,2.61,568970.2777777778
33.14,1.0,1.0,21.1344918,0.0,6.0,0,0,1990.0,3.36,331119.6569037657
33.1,1.0,1.0,16.8814,0.0,21.0,0,0,1965.0,3.79,568970.2777777778
54.0,2.0,3.0,20.95509,1.0,14.0,0,0,2022.0,3.34,923794.7879754602
38.85,2.0,1.0,19.4290999,1.0,2.0,0,0,1970.0,2.72,413154.8083261058
60.96,3.0,3.0,20.8805946,0.0,11.0,0,1,2023.0,8.91,923794.7879754602
70.0,3.0,0.0,22.5555702,0.0,18.0,0,0,1960.0,1.21,491590.74011299433
100.2,4.0,0.0,21.0291229,0.0,3.0,0,1,2000.0,10.58,923794.7879754602
120.0,4.0,1.0,20.9774,0.0,17.0,0,0,,2.31,923794.7879754602
86.0,3.0,2.0,19.95246,0.0,42.0,0,0,,1.49,747427.8625277162
42.43,2.0,1.0,19.46075,0.0,10.0,0,0,1954.0,2.17,413154.8083261058
64.8,3.0,0.0,19.02584,0.0,23.0,0,0,,1.11,442685.6430594901
85.5,3.0,2.0,16.9244796,0.0,76.0,0,0,1910.0,0.75,568970.2777777778
61.0,3.0,1.0,20.9596023,0.0,13.0,0,0,1983.0,9.54,923794.7879754602
43.0,2.0,1.0,18.0339,0.0,17.0,0,1,1978.0,2.7,411446.35302390996
33.0,2.0,1.0,19.4753001,1.0,8.0,0,0,,4.52,413154.8083261058
44.27,2.0,0.0,17.0551006,1.0,17.0,0,0,1914.0,2.2,663522.8989361703
80.04,3.0,0.0,20.9147986,1.0,17.0,0,1,2012.0,6.58,923794.7879754602
72.7,3.0,1.0,14.5055732,0.0,9.0,0,1,1930.0,4.32,500654.9549763033
100.0,3.0,1.0,14.4931,0.0,4.0,0,1,2000.0,4.58,500654.9549763033
40.4,2.0,1.0,18.45639,0.0,0.0,0,0,2003.0,8.29,657043.248427673
62.0,3.0,0.0,20.99004,0.0,13.0,0,0,2019.0,6.47,923794.7879754602
58.71,3.0,3.0,19.8922995,1.0,13.0,0,1,2022.0,4.21,747427.8625277162
63.6,3.0,0.0,21.05313,0.0,12.0,0,0,1974.0,6.81,923794.7879754602
52.52,2.0,3.0,21.03636,1.0,22.0,0,0,2012.0,2.25,923794.7879754602
42.42,2.0,1.0,18.0242,0.0,9.0,0,0,,2.27,411446.35302390996
44.5,2.0,2.0,17.0121574,0.0,32.0,0,0,1910.0,1.45,663522.8989361703
47.22,3.0,1.0,19.4931,0.0,16.0,0,0,1970.0,5.1,413154.8083261058
102.0,4.0,0.0,20.9478161,1.0,8.0,1,1,2023.0,6.9,923794.7879754602
43.0,2.0,0.0,16.9795668,1.0,0.0,0,0,2023.0,3.79,568970.2777777778
71.3,3.0,1.0,18.60448,1.0,8.0,0,0,2011.0,3.26,737720.9866291344
67.0,3.0,0.0,20.9814,0.0,36.0,0,0,1934.0,4.17,923794.7879754602
53.31,3.0,1.0,21.01472719,1.0,9.0,0,0,1975.0,6.1,923794.7879754602
30.0,1.0,1.0,18.5966,0.0,31.0,0,0,,7.64,737720.9866291344
50.3,2.0,1.0,20.9435,1.0,11.0,1,1,2003.0,13.34,923794.7879754602
70.84,3.0,1.0,19.8860194,0.0,2.0,0,1,2023.0,3.84,747427.8625277162
65.0,3.0,0.0,21.0695,1.0,22.0,0,0,1981.0,4.77,923794.7879754602
60.8,3.0,1.0,18.64487,1.0,12.0,0,0,2021.0,5.23,737720.9866291344
77.0,3.0,0.0,17.03078,0.0,56.0,0,0,,0.85,663522.8989361703
52.05,3.0,1.0,19.5312669,0.0,27.0,0,1,,5.99,413154.8083261058
32.4,2.0,2.0,18.0079,0.0,54.0,0,0,,0.65,411446.35302390996
49.0,3.0,0.0,20.9712206,1.0,31.0,0,0,1960.0,3.24,923794.7879754602
